Size,Algo,Trial,Stampms,GB/s,Iters,uncR,uncW
600000,fill0,0,0.01,52.2,2,0.00,0.00
600000,fill0,1,0.01,53.2,2,0.00,0.00
600000,fill0,2,0.01,48.8,2,0.00,0.00
600000,fill0,3,0.01,49.5,2,0.00,0.00
600000,fill0,4,0.01,49.3,2,0.00,0.00
600000,fill0,5,0.01,50.4,2,0.00,0.00
600000,fill0,6,0.01,54.8,2,0.00,0.00
600000,fill0,7,0.01,53.9,2,0.00,0.00
600000,fill0,8,0.01,48.5,2,0.00,0.00
600000,fill0,9,0.01,51.3,2,0.00,0.00
600000,fill0,10,0.01,49.9,2,0.00,0.00
600000,fill0,11,0.01,54.7,2,0.00,0.00
600000,fill0,12,0.01,53.0,2,0.00,0.00
600000,fill0,13,0.01,53.0,2,0.00,0.00
600000,fill0,14,0.01,52.0,2,0.00,0.00
600000,fill0,15,0.01,54.2,2,0.00,0.00
600000,fill0,16,0.01,49.7,2,0.00,0.00
600000,fill1,0,0.01,45.7,2,0.00,0.00
600000,fill1,1,0.01,45.7,2,0.00,0.00
600000,fill1,2,0.01,45.9,2,0.00,0.00
600000,fill1,3,0.01,47.8,2,0.00,0.00
600000,fill1,4,0.01,48.0,2,0.00,0.00
600000,fill1,5,0.01,48.0,2,0.00,0.00
600000,fill1,6,0.01,48.2,2,0.00,0.00
600000,fill1,7,0.01,45.2,2,0.00,0.00
600000,fill1,8,0.01,45.5,2,0.00,0.00
600000,fill1,9,0.01,50.3,2,0.00,0.00
600000,fill1,10,0.01,46.3,2,0.00,0.00
600000,fill1,11,0.01,48.0,2,0.00,0.00
600000,fill1,12,0.01,49.5,2,0.00,0.00
600000,fill1,13,0.01,49.7,2,0.00,0.00
600000,fill1,14,0.01,46.4,2,0.00,0.00
600000,fill1,15,0.01,45.8,2,0.00,0.00
600000,fill1,16,0.01,45.6,2,0.00,0.00
600000,alt01,0,0.01,54.8,2,0.00,0.00
600000,alt01,1,0.01,54.5,2,0.00,0.00
600000,alt01,2,0.01,55.2,2,0.00,0.00
600000,alt01,3,0.01,55.7,2,0.00,0.00
600000,alt01,4,0.01,54.9,2,0.00,0.00
600000,alt01,5,0.01,54.1,2,0.00,0.00
600000,alt01,6,0.01,55.0,2,0.00,0.00
600000,alt01,7,0.01,55.0,2,0.00,0.00
600000,alt01,8,0.01,55.1,2,0.00,0.00
600000,alt01,9,0.01,54.7,2,0.00,0.00
600000,alt01,10,0.01,54.8,2,0.00,0.00
600000,alt01,11,0.01,55.2,2,0.00,0.00
600000,alt01,12,0.01,55.1,2,0.00,0.00
600000,alt01,13,0.01,54.4,2,0.00,0.00
600000,alt01,14,0.01,54.5,2,0.00,0.00
600000,alt01,15,0.01,55.0,2,0.00,0.00
600000,alt01,16,0.01,53.8,2,0.00,0.00
660000,fill0,0,0.01,46.5,2,0.00,0.00
660000,fill0,1,0.01,47.1,2,0.00,0.00
660000,fill0,2,0.01,47.8,2,0.00,0.00
660000,fill0,3,0.01,47.6,2,0.00,0.00
660000,fill0,4,0.01,45.9,2,0.00,0.00
660000,fill0,5,0.01,47.2,2,0.00,0.00
660000,fill0,6,0.01,47.0,2,0.00,0.00
660000,fill0,7,0.01,48.0,2,0.00,0.00
660000,fill0,8,0.01,51.1,2,0.00,0.00
660000,fill0,9,0.01,47.9,2,0.00,0.00
660000,fill0,10,0.01,46.8,2,0.00,0.00
660000,fill0,11,0.01,50.6,2,0.00,0.00
660000,fill0,12,0.01,47.4,2,0.00,0.00
660000,fill0,13,0.01,49.2,2,0.00,0.00
660000,fill0,14,0.02,41.4,2,0.00,0.00
660000,fill0,15,0.03,22.7,2,0.00,0.00
660000,fill0,16,0.01,47.8,2,0.00,0.00
660000,fill1,0,0.02,42.4,2,0.00,0.00
660000,fill1,1,0.01,44.8,2,0.00,0.00
660000,fill1,2,0.02,42.2,2,0.00,0.00
660000,fill1,3,0.02,42.0,2,0.00,0.00
660000,fill1,4,0.02,42.7,2,0.00,0.00
660000,fill1,5,0.02,43.6,2,0.00,0.00
660000,fill1,6,0.02,43.4,2,0.00,0.00
660000,fill1,7,0.01,44.1,2,0.00,0.00
660000,fill1,8,0.01,44.1,2,0.00,0.00
660000,fill1,9,0.02,42.3,2,0.00,0.00
660000,fill1,10,0.02,42.5,2,0.00,0.00
660000,fill1,11,0.02,43.5,2,0.00,0.00
660000,fill1,12,0.01,45.3,2,0.00,0.00
660000,fill1,13,0.02,43.6,2,0.00,0.00
660000,fill1,14,0.02,42.0,2,0.00,0.00
660000,fill1,15,0.02,42.6,2,0.00,0.00
660000,fill1,16,0.02,43.1,2,0.00,0.00
660000,alt01,0,0.01,50.4,2,0.00,0.00
660000,alt01,1,0.01,50.2,2,0.00,0.00
660000,alt01,2,0.01,49.1,2,0.00,0.00
660000,alt01,3,0.01,49.2,2,0.00,0.00
660000,alt01,4,0.01,49.6,2,0.00,0.00
660000,alt01,5,0.01,50.0,2,0.00,0.00
660000,alt01,6,0.01,49.6,2,0.00,0.00
660000,alt01,7,0.01,49.3,2,0.00,0.00
660000,alt01,8,0.01,49.4,2,0.00,0.00
660000,alt01,9,0.01,50.4,2,0.00,0.00
660000,alt01,10,0.01,50.4,2,0.00,0.00
660000,alt01,11,0.01,49.4,2,0.00,0.00
660000,alt01,12,0.01,50.4,2,0.00,0.00
660000,alt01,13,0.01,50.3,2,0.00,0.00
660000,alt01,14,0.01,50.2,2,0.00,0.00
660000,alt01,15,0.01,50.1,2,0.00,0.00
660000,alt01,16,0.01,50.1,2,0.00,0.00
726000,fill0,0,0.02,44.3,2,0.00,0.00
726000,fill0,1,0.02,44.0,2,0.00,0.00
726000,fill0,2,0.02,44.7,2,0.00,0.00
726000,fill0,3,0.02,44.9,2,0.00,0.00
726000,fill0,4,0.02,44.4,2,0.00,0.00
726000,fill0,5,0.02,44.4,2,0.00,0.00
726000,fill0,6,0.02,44.4,2,0.00,0.00
726000,fill0,7,0.02,44.2,2,0.00,0.00
726000,fill0,8,0.02,44.7,2,0.00,0.00
726000,fill0,9,0.02,45.9,2,0.00,0.00
726000,fill0,10,0.02,45.0,2,0.00,0.00
726000,fill0,11,0.02,43.6,2,0.00,0.00
